occurrence_index,section,flag_heading,flag_name_cli,restart_needed_badge,master_tserver_match_badge,other_badges_or_notes,default_documented,required_documented,description_excerpt,source_path
1,General flags,--version,--version,no,no,,,no,"Shows version and build information, then exits.",docs/content/stable/reference/configuration/yb-master.md
1,General flags,--flagfile,--flagfile,yes,no,,,no,Specifies the configuration file to load flags from.,docs/content/stable/reference/configuration/yb-master.md
1,General flags,--master_addresses,--master_addresses,yes,no,,127.0.0.1:7100,yes,Default: '127.0.0.1:7100' Specifies a comma-separated list of all RPC addresses for YB-Master consensus-configuration. The number of comma-separated values should match the total number of YB-Master server (or the replication factor). Required.,docs/content/stable/reference/configuration/yb-master.md
1,General flags,--fs_data_dirs,--fs_data_dirs,yes,no,,,yes,"Specifies a comma-separated list of mount directories, where yb-master will add a 'yb-data/master' data directory, 'master.err', 'master.out', and 'pg_data' directory. Required. Changing the value of this flag after the cluster has already been created is not supported.",docs/content/stable/reference/configuration/yb-master.md
1,General flags,--fs_wal_dirs,--fs_wal_dirs,yes,yes,,Same value as `--fs_data_dirs`,no,"Default: Same value as '--fs_data_dirs' Specifies a comma-separated list of directories, where yb-master will store write-ahead (WAL) logs. This can be the same as one of the directories listed in '--fs_data_dirs', but not a subdirectory of a data directory.",docs/content/stable/reference/configuration/yb-master.md
1,General flags,--rpc_bind_addresses,--rpc_bind_addresses,yes,no,,"Private IP address of the host on which the server is running, as defined in `/home/yugabyte/master/conf/server.conf`. For example:",no,"Specifies the comma-separated list of the network interface addresses to which to bind for RPC connections. The values used must match on all yb-master and yb-tserver configurations. Default: Private IP address of the host on which the server is running, as defined in '/home/yugabyte/master/conf/server.conf'. For example: Make sure that the 'server_broadcast_addresses' flag is set correctly if the following applies: - 'rpc_bind_addresses' is set to '0.0.0.0' - 'rpc_bind_addresses' involves public IP addresses such as, for example, '0.0.0.0:7100', which instructs the server to listen on all available network interfaces.",docs/content/stable/reference/configuration/yb-master.md
1,General flags,--server_broadcast_addresses,--server_broadcast_addresses,yes,no,,"""""",no,"Default: '""""' Specifies the public IP or DNS hostname of the server (with an optional port). This value is used by servers to communicate with one another, depending on the connection policy parameter.",docs/content/stable/reference/configuration/yb-master.md
1,General flags,--dns_cache_expiration_ms,--dns_cache_expiration_ms,no,yes,,`60000` (1 minute),no,"Default: '60000' (1 minute) Specifies the duration, in milliseconds, until a cached DNS resolution expires. When hostnames are used instead of IP addresses, a DNS resolver must be queried to match hostnames to IP addresses. By using a local DNS cache to temporarily store DNS lookups, DNS queries can be resolved quicker and additional queries can be avoided. This reduces latency, improves load times, and reduces bandwidth and CPU consumption. If this value is changed from the default, make sure to add the same value to all YB-Master and YB-TSever configurations.",docs/content/stable/reference/configuration/yb-master.md
1,General flags,--use_private_ip,--use_private_ip,yes,no,,never,no,"Default: 'never' Specifies the policy that determines when to use private IP addresses for inter-node communication. Possible values are 'never', 'zone', 'cloud', and 'region'. Based on the values of the geo-distribution flags. Valid values for the policy are: - 'never' — Always use the '--server_broadcast_addresses'. - 'zone' — Use the private IP inside a zone; use the '--server_broadcast_addresses' outside the zone. - 'region' — Use the private IP address across all zone in a region; use '--server_broadcast_addresses' outside the region.",docs/content/stable/reference/configuration/yb-master.md
1,General flags,--webserver_interface,--webserver_interface,yes,no,,"`""""` (empty; the web UI binds to the first host IP from [`--rpc_bind_addresses`](#rpc-bind-addresses))",no,"Default: '""""' (empty; the web UI binds to the first host IP from '--rpc_bind_addresses') Specifies the bind address for web server user interface access.",docs/content/stable/reference/configuration/yb-master.md
1,General flags,--webserver_port,--webserver_port,yes,no,,7000,no,Default: '7000' Specifies the web server monitoring port.,docs/content/stable/reference/configuration/yb-master.md
1,General flags,--webserver_doc_root,--webserver_doc_root,yes,no,,The `www` directory in the YugabyteDB home directory.,no,Default: The 'www' directory in the YugabyteDB home directory. Monitoring web server home.,docs/content/stable/reference/configuration/yb-master.md
1,General flags,--webserver_certificate_file,--webserver_certificate_file,yes,no,,"""""",no,"Default: '""""' Location of the SSL certificate file (in .pem format) to use for the web server. If empty, SSL is not enabled for the web server.",docs/content/stable/reference/configuration/yb-master.md
1,General flags,--webserver_authentication_domain,--webserver_authentication_domain,yes,no,,"""""",no,"Default: '""""' Domain used for .htpasswd authentication. This should be used in conjunction with '--webserver_password_file'.",docs/content/stable/reference/configuration/yb-master.md
1,General flags,--webserver_password_file,--webserver_password_file,yes,no,,"""""",no,"Default: '""""' Location of .htpasswd file containing usernames and hashed passwords, for authentication to the web server.",docs/content/stable/reference/configuration/yb-master.md
1,General flags,--defer_index_backfill,--defer_index_backfill,no,no,,false,no,"If enabled, YB-Master avoids launching any new index-backfill jobs on the cluster for all new YCQL indexes. You will need to run 'yb-admin backfill_indexes_for_table' manually for indexes to be functional. See 'CREATE DEFERRED INDEX' for reference. Default: 'false'",docs/content/stable/reference/configuration/yb-master.md
1,General flags,--allow_batching_non_deferred_indexes,--allow_batching_non_deferred_indexes,no,no,,true,no,"If enabled, indexes on the same (YCQL) table may be batched together during backfill, even if they were not deferred. Default: 'true'",docs/content/stable/reference/configuration/yb-master.md
1,General flags,--time_source,--time_source,yes,no,,"""""",no,"Default: '""""' Specifies the time source used by the database. Set this to 'clockbound' for configuring a highly accurate time source. Using 'clockbound' requires system configuration.",docs/content/stable/reference/configuration/yb-master.md
1,YSQL flags,--enable_ysql,--enable_ysql,no,yes,,true,no,Default: 'true' Enables the YSQL API when value is 'true'. Ensure that 'enable_ysql' values in yb-master configurations match the values in yb-tserver configurations.,docs/content/stable/reference/configuration/yb-master.md
1,YSQL flags,--enable_pg_cron,--enable_pg_cron,yes,yes,,false,no,Default: 'false' Set this flag to true on all YB-Masters and YB-TServers to add the pg_cron extension.,docs/content/stable/reference/configuration/yb-master.md
1,YSQL flags,--ysql_follower_reads_avoid_waiting_for_safe_time,--ysql_follower_reads_avoid_waiting_for_safe_time,no,no,,true,no,"Controls whether YSQL follower reads that specify a not-yet-safe read time should be rejected. This will force them to go to the leader, which will likely be faster than waiting for safe time to catch up. Default: 'true'",docs/content/stable/reference/configuration/yb-master.md
